iter	RMSE
0	1620.825432
1	1549.633416
2	1490.050243
3	1438.868154
4	1393.80741
5	1352.309101
6	1316.411637
7	1286.718999
8	1261.189292
9	1238.316134
10	1217.037804
11	1198.732649
12	1182.216311
13	1168.961181
14	1156.923191
15	1145.815913
16	1137.013238
17	1127.109601
18	1120.05379
19	1113.698912
20	1109.495725
21	1105.631976
22	1101.510006
23	1097.668275
24	1094.043241
25	1091.167263
26	1088.514197
27	1086.389846
28	1084.22307
29	1082.585019
30	1080.850224
31	1079.225981
32	1078.242855
33	1077.693866
34	1076.486552
35	1075.30441
36	1074.179667
37	1073.541869
38	1072.873394
39	1072.464928
40	1072.192024
41	1072.158428
42	1071.741801
43	1071.440301
44	1070.666894
45	1070.222942
46	1069.781501
47	1069.207396
48	1068.741104
49	1068.737861
