iter	Passed	Remaining
0	11	568
1	28	675
2	40	641
3	53	618
4	63	569
5	73	541
6	82	509
7	93	489
8	103	469
9	111	446
10	120	425
11	128	406
12	138	393
13	147	378
14	155	363
15	164	350
16	174	338
17	182	324
18	193	316
19	203	304
20	212	293
21	221	282
22	232	273
23	244	265
24	255	255
25	269	248
26	280	238
27	289	227
28	299	217
29	308	205
30	317	194
31	326	183
32	339	174
33	353	166
34	363	155
35	372	144
36	381	133
37	391	123
38	401	113
39	412	103
40	422	92
41	431	82
42	441	71
43	452	61
44	462	51
45	471	41
46	480	30
47	488	20
48	497	10
49	503	0
